row ID,row m/z,row retention time,26C sample 1 Peak status,26C sample 1 Peak name,26C sample 1 Peak m/z,26C sample 1 Peak RT,
741,229.1555633544922,3.80758,DETECTED,229.156 m/z @3.8 [26C sample 1],229.1555633544922,3.80758,
742,229.58961486816406,14.310423333333334,DETECTED,229.590 m/z @14.3 [26C sample 1],229.58961486816406,14.310423333333334,
743,230.04364013671875,12.516913333333333,DETECTED,230.044 m/z @12.5 [26C sample 1],230.04364013671875,12.516913333333333,
744,230.09654235839844,11.440411666666666,DETECTED,230.097 m/z @11.4 [26C sample 1],230.09654235839844,11.440411666666666,
745,230.11419677734375,9.621583333333335,DETECTED,230.114 m/z @9.6 [26C sample 1],230.11419677734375,9.621583333333335,
746,230.1756591796875,3.217085,DETECTED,230.176 m/z @3.2 [26C sample 1],230.1756591796875,3.217085,
747,230.90869140625,30.32558,DETECTED,230.909 m/z @30.3 [26C sample 1],230.90869140625,30.32558,
748,230.99630737304688,14.334579999999999,DETECTED,230.996 m/z @14.3 [26C sample 1],230.99630737304688,14.334579999999999,
749,231.02749633789062,12.46758,DETECTED,231.027 m/z @12.5 [26C sample 1],231.02749633789062,12.46758,
750,231.04444885253906,14.569413333333333,DETECTED,231.044 m/z @14.6 [26C sample 1],231.04444885253906,14.569413333333333,
751,231.06353759765625,2.8772533333333334,DETECTED,231.064 m/z @2.9 [26C sample 1],231.06353759765625,2.8772533333333334,
752,231.08062744140625,8.41858,DETECTED,231.081 m/z @8.4 [26C sample 1],231.08062744140625,8.41858,
753,231.09832763671875,12.180253333333333,DETECTED,231.098 m/z @12.2 [26C sample 1],231.09832763671875,12.180253333333333,
754,231.10948181152344,12.083246666666666,DETECTED,231.109 m/z @12.1 [26C sample 1],231.10948181152344,12.083246666666666,
755,231.17124938964844,3.3450800000000003,DETECTED,231.171 m/z @3.3 [26C sample 1],231.17124938964844,3.3450800000000003,
756,232.0307159423828,12.516913333333333,DETECTED,232.031 m/z @12.5 [26C sample 1],232.0307159423828,12.516913333333333,
757,232.09405517578125,16.122581666666665,DETECTED,232.094 m/z @16.1 [26C sample 1],232.09405517578125,16.122581666666665,
758,232.10891723632812,9.145245,DETECTED,232.109 m/z @9.1 [26C sample 1],232.10891723632812,9.145245,
759,232.13099670410156,6.826411666666667,DETECTED,232.131 m/z @6.8 [26C sample 1],232.13099670410156,6.826411666666667,
760,232.1919708251953,3.1740866666666663,DETECTED,232.192 m/z @3.2 [26C sample 1],232.1919708251953,3.1740866666666663,
761,232.8427276611328,30.82524666666667,DETECTED,232.843 m/z @30.8 [26C sample 1],232.8427276611328,30.82524666666667,
762,232.9917449951172,14.310423333333334,DETECTED,232.992 m/z @14.3 [26C sample 1],232.9917449951172,14.310423333333334,
763,233.03152465820312,12.46758,DETECTED,233.032 m/z @12.5 [26C sample 1],233.03152465820312,12.46758,
764,233.0598907470703,11.147176666666667,DETECTED,233.060 m/z @11.1 [26C sample 1],233.0598907470703,11.147176666666667,
765,233.09921264648438,4.46575,DETECTED,233.099 m/z @4.5 [26C sample 1],233.09921264648438,4.46575,
766,233.1141357421875,10.263078333333333,DETECTED,233.114 m/z @10.3 [26C sample 1],233.1141357421875,10.263078333333333,
767,233.1250762939453,22.07374666666667,DETECTED,233.125 m/z @22.1 [26C sample 1],233.1250762939453,22.07374666666667,
768,233.19131469726562,2.613755,DETECTED,233.191 m/z @2.6 [26C sample 1],233.19131469726562,2.613755,
769,233.96827697753906,37.917411666666666,DETECTED,233.968 m/z @37.9 [26C sample 1],233.96827697753906,37.917411666666666,
770,234.07772827148438,36.611913333333334,DETECTED,234.078 m/z @36.6 [26C sample 1],234.07772827148438,36.611913333333334,
