row ID,row m/z,row retention time,26C sample 1 Peak status,26C sample 1 Peak name,26C sample 1 Peak m/z,26C sample 1 Peak RT,
4941,796.7006225585938,30.457911666666664,DETECTED,796.701 m/z @30.5 [26C sample 1],796.7006225585938,30.457911666666664,
4942,797.7387084960938,3.6055783333333333,DETECTED,797.739 m/z @3.6 [26C sample 1],797.7387084960938,3.6055783333333333,
4943,797.8439331054688,14.635745000000002,DETECTED,797.844 m/z @14.6 [26C sample 1],797.8439331054688,14.635745000000002,
4944,798.0489501953125,13.480086666666667,DETECTED,798.049 m/z @13.5 [26C sample 1],798.0489501953125,13.480086666666667,
4945,798.1278686523438,13.643911666666666,DETECTED,798.128 m/z @13.6 [26C sample 1],798.1278686523438,13.643911666666666,
4946,798.6005859375,30.99858,DETECTED,798.601 m/z @31.0 [26C sample 1],798.6005859375,30.99858,
4947,799.129150390625,13.667913333333333,DETECTED,799.129 m/z @13.7 [26C sample 1],799.129150390625,13.667913333333333,
4948,800.5759887695312,2.681913333333333,DETECTED,800.576 m/z @2.7 [26C sample 1],800.5759887695312,2.681913333333333,
4949,800.8135375976562,29.79024666666667,DETECTED,800.814 m/z @29.8 [26C sample 1],800.8135375976562,29.79024666666667,
4950,801.0447387695312,15.88057833333333,DETECTED,801.045 m/z @15.9 [26C sample 1],801.0447387695312,15.88057833333333,
4951,801.1094360351562,23.244078333333334,DETECTED,801.109 m/z @23.2 [26C sample 1],801.1094360351562,23.244078333333334,
4952,801.2457275390625,3.4742450000000002,DETECTED,801.246 m/z @3.5 [26C sample 1],801.2457275390625,3.4742450000000002,
4953,801.3091430664062,29.908915000000004,DETECTED,801.309 m/z @29.9 [26C sample 1],801.3091430664062,29.908915000000004,
4954,801.4974975585938,3.4092466666666668,DETECTED,801.497 m/z @3.4 [26C sample 1],801.4974975585938,3.4092466666666668,
4955,801.5533447265625,2.7264133333333334,DETECTED,801.553 m/z @2.7 [26C sample 1],801.5533447265625,2.7264133333333334,
4956,801.582763671875,2.8347450000000003,DETECTED,801.583 m/z @2.8 [26C sample 1],801.582763671875,2.8347450000000003,
4957,801.817626953125,29.83841333333333,DETECTED,801.818 m/z @29.8 [26C sample 1],801.817626953125,29.83841333333333,
4958,802.4981689453125,3.4742450000000002,DETECTED,802.498 m/z @3.5 [26C sample 1],802.4981689453125,3.4742450000000002,
4959,802.557861328125,2.8134116666666666,DETECTED,802.558 m/z @2.8 [26C sample 1],802.557861328125,2.8134116666666666,
4960,802.814453125,29.719745,DETECTED,802.814 m/z @29.7 [26C sample 1],802.814453125,29.719745,
4961,802.8289794921875,3.4527566666666667,DETECTED,802.829 m/z @3.5 [26C sample 1],802.8289794921875,3.4527566666666667,
4962,803.0807495117188,13.805911666666667,DETECTED,803.081 m/z @13.8 [26C sample 1],803.0807495117188,13.805911666666667,
4963,803.1239624023438,14.61152,DETECTED,803.124 m/z @14.6 [26C sample 1],803.1239624023438,14.61152,
4964,803.1657104492188,3.2597466666666666,DETECTED,803.166 m/z @3.3 [26C sample 1],803.1657104492188,3.2597466666666666,
4965,803.4215698242188,23.025748333333333,DETECTED,803.422 m/z @23.0 [26C sample 1],803.4215698242188,23.025748333333333,
4966,803.49609375,3.3237449999999997,DETECTED,803.496 m/z @3.3 [26C sample 1],803.49609375,3.3237449999999997,
4967,804.4166870117188,22.976415,DETECTED,804.417 m/z @23.0 [26C sample 1],804.4166870117188,22.976415,
4968,804.4895629882812,3.3237449999999997,DETECTED,804.490 m/z @3.3 [26C sample 1],804.4895629882812,3.3237449999999997,
4969,804.7612915039062,29.861748333333335,DETECTED,804.761 m/z @29.9 [26C sample 1],804.7612915039062,29.861748333333335,
4970,804.96044921875,12.107244999999999,DETECTED,804.960 m/z @12.1 [26C sample 1],804.96044921875,12.107244999999999,
4971,805.0422973632812,13.805911666666667,DETECTED,805.042 m/z @13.8 [26C sample 1],805.0422973632812,13.805911666666667,
